group,year,week,value
Total,2021,0,0
Total,2021,1,16390
Total,2021,2,36175
Total,2021,3,58231
Total,2021,4,76657
Total,2021,5,89620
Total,2021,6,98336
Total,2021,7,105110
Total,2021,8,107996
Total,2021,9,109172
Total,2021,10,111143
Total,2021,11,113137
Total,2021,12,115528
Total,2021,13,119031
Total,2021,14,122024
Total,2021,15,124679
Total,2021,16,127593
Total,2021,17,129490
Total,2021,18,132052
Total,2021,19,132528
Total,2021,20,132291
Total,2021,21,132081
Total,2021,22,132019
Total,2021,23,131915
Total,2021,24,132632
Total,2021,25,133224
Total,2021,26,134927
Total,2021,27,136348
Total,2021,28,138323
Total,2021,29,142975
Total,2021,30,146579
Total,2021,31,151432
Total,2021,32,157105
Total,2021,33,161692
Total,2021,34,165068
Total,2021,35,168892
Total,2021,36,174238
Total,2021,37,176688
Total,2021,38,178075
Total,2021,39,180414
Total,2021,40,182650
Total,2021,41,185912
Total,2021,42,189585
Total,2021,43,194423
Total,2021,44,198786
Total,2021,45,205066
Total,2021,46,211211
Total,2021,47,218812
Total,2021,48,229057
Total,2021,49,238871
Total,2021,50,247183
Total,2021,51,255957
Total,2021,52,265173
Total,2022,0,0
Total,2022,1,7639
Total,2022,2,15371
Total,2022,3,23184
Total,2022,4,32683
Total,2022,5,42470
Total,2022,6,49248
Total,2022,7,54674
Total,2022,8,57281
Total,2022,9,59577
Total,2022,10,62246
Total,2022,11,65294
Total,2022,12,68893
Total,2022,13,73830
Total,2022,14,79850
Total,2022,15,85129
Total,2022,16,88273
Total,2022,17,91070
Total,2022,18,93470
Total,2022,19,95771
Total,2022,20,97979
Total,2022,21,98037
Total,2022,22,99650
Total,2022,23,101252
Total,2022,24,105738
Total,2022,25,109081
Total,2022,26,113129
Total,2022,27,118995
Total,2022,28,127695
Total,2022,29,139685
Total,2022,30,147807
Total,2022,31,154187
Total,2022,32,161459
Total,2022,33,165696
Total,2022,34,167947
Total,2022,35,168689
Total,2022,36,169279
Total,2022,37,169598
Total,2022,38,170798
Total,2022,39,174198
Total,2022,40,178348
Total,2022,41,181657
Total,2022,42,185063
Total,2022,43,187165
Total,2022,44,187378
Total,2022,45,188881
Total,2022,46,190819
Total,2022,47,193990
Total,2022,48,198153
Total,2022,49,206284
Total,2022,50,218374
Total,2022,51,234942
Total,2022,52,250685
Total,2023,0,0
Total,2023,1,12945
Total,2023,2,21553
Total,2023,3,26791
Total,2023,4,30263
Total,2023,5,33663
Total,2023,6,36605
Total,2023,7,39541
Total,2023,8,41656
Total,2023,9,43445
Total,2023,10,47105
Total,2023,11,48965
Total,2023,12,49206
Total,2023,13,48838
Total,2023,14,47856
Total,2023,15,47610
Total,2023,16,48052
Total,2023,17,47976
Total,2023,18,47228
Total,2023,19,45599
Total,2023,20,44013
Total,2023,21,43458
Total,2023,22,42438
Total,2023,23,43198
Total,2023,24,43838
Total,2023,25,43978
Total,2023,26,42477
Total,2023,27,41854
Total,2023,28,42091
Total,2023,29,42706
Total,2023,30,43444
Total,2023,31,42625
Total,2023,32,43537
Total,2023,33,44528
Total,2023,34,46968
Total,2023,35,46415
Total,2023,36,47576
Total,2023,37,46678
Total,2023,38,44930
Total,2023,39,44027
Total,2023,40,44252
Total,2023,41,43561
Total,2023,42,44130
Total,2023,43,45292
Total,2023,44,45959
Total,2023,45,46521
Total,2023,46,47464
Total,2023,47,48137
Total,2023,48,49668
Total,2023,49,48679
0to14,2021,0,0
0to14,2021,1,-44
0to14,2021,2,-78
0to14,2021,3,-109
0to14,2021,4,-120
0to14,2021,5,-140
0to14,2021,6,-123
0to14,2021,7,-131
0to14,2021,8,-172
0to14,2021,9,-155
0to14,2021,10,-198
0to14,2021,11,-203
0to14,2021,12,-208
0to14,2021,13,-209
