group,week,Observed count,Low normal range,High normal range,Baseline,Substantial increase
15to44,2017-51,1322.08,1119.15,1400.94,1257.42,1549.55
15to44,2017-52,1368.02,1118.44,1401.69,1257.4,1551.11
15to44,2018-01,1426,1118.02,1401.71,1257.19,1551.38
15to44,2018-02,1358,1117.96,1400.94,1256.79,1550.21
15to44,2018-03,1295.2,1118.28,1399.38,1256.21,1547.62
15to44,2018-04,1308.38,1118.9,1397.17,1255.46,1543.85
15to44,2018-05,1263.02,1119.82,1394.36,1254.58,1538.98
15to44,2018-06,1356.2,1120.99,1391.07,1253.6,1533.22
15to44,2018-07,1330,1122.33,1387.44,1252.54,1526.86
15to44,2018-08,1258,1123.92,1383.46,1251.45,1519.82
15to44,2018-09,1342.08,1125.49,1379.48,1250.34,1512.8
15to44,2018-10,1329.32,1127.13,1375.47,1249.24,1505.69
15to44,2018-11,1302.26,1128.76,1371.57,1248.2,1498.76
15to44,2018-12,1250,1130.37,1367.83,1247.22,1492.1
15to44,2018-13,1293.2,1131.83,1364.43,1246.32,1486.05
15to44,2018-14,1267.02,1133.21,1361.32,1245.53,1480.5
15to44,2018-15,1268.26,1134.46,1358.59,1244.84,1475.61
15to44,2018-16,1291,1135.59,1356.22,1244.27,1471.33
15to44,2018-17,1198.38,1136.49,1354.33,1243.82,1467.94
15to44,2018-18,1307.14,1137.25,1352.82,1243.48,1465.19
15to44,2018-19,1272.26,1137.84,1351.72,1243.24,1463.17
15to44,2018-20,1293.08,1138.25,1351,1243.11,1461.85
15to44,2018-21,1244.02,1138.49,1350.64,1243.06,1461.17
15to44,2018-22,1250.14,1138.55,1350.62,1243.08,1461.09
15to44,2018-23,1267,1138.5,1350.85,1243.16,1461.49
15to44,2018-24,1230.02,1138.22,1351.42,1243.3,1462.51
15to44,2018-25,1205,1137.84,1352.18,1243.47,1463.88
15to44,2018-26,1290,1137.33,1353.12,1243.67,1465.61
15to44,2018-27,1282,1136.72,1354.22,1243.89,1467.64
15to44,2018-28,1342,1136.02,1355.46,1244.13,1469.93
15to44,2018-29,1289,1135.25,1356.81,1244.39,1472.43
15to44,2018-30,1290,1134.43,1358.26,1244.67,1475.11
15to44,2018-31,1354,1133.59,1359.8,1244.98,1477.95
15to44,2018-32,1303,1132.75,1361.44,1245.34,1480.93
15to44,2018-33,1260,1131.92,1363.17,1245.76,1484.06
15to44,2018-34,1248,1131.13,1365.01,1246.24,1487.33
15to44,2018-35,1273,1130.4,1366.97,1246.81,1490.76
15to44,2018-36,1261,1129.72,1369.07,1247.48,1494.37
15to44,2018-37,1239,1129.1,1371.33,1248.25,1498.21
15to44,2018-38,1240,1128.52,1373.78,1249.14,1502.3
15to44,2018-39,1249,1127.96,1376.44,1250.14,1506.73
15to44,2018-40,1247,1127.37,1379.33,1251.24,1511.53
15to44,2018-41,1391,1126.72,1382.49,1252.43,1516.76
15to44,2018-42,1228,1125.95,1385.9,1253.68,1522.46
15to44,2018-43,1225,1125.02,1389.56,1254.96,1528.64
15to44,2018-44,1252,1123.9,1393.42,1256.25,1535.25
15to44,2018-45,1244,1122.58,1397.43,1257.5,1542.2
15to44,2018-46,1214,1121.06,1401.47,1258.66,1549.3
15to44,2018-47,1196,1119.41,1405.4,1259.7,1556.33
15to44,2018-48,1248,1117.68,1409.08,1260.57,1563
15to44,2018-49,1257,1115.98,1412.33,1261.25,1568.99
15to44,2018-50,1279,1114.39,1414.97,1261.7,1574
15to44,2018-51,1292,1113.03,1416.88,1261.9,1577.73
15to44,2018-52,1290,1111.96,1417.93,1261.85,1579.96
15to44,2019-01,1379,1111.26,1418.04,1261.54,1580.53
15to44,2019-02,1369,1110.98,1417.21,1260.99,1579.39
15to44,2019-03,1349,1111.12,1415.44,1260.21,1576.56
15to44,2019-04,1301,1111.66,1412.81,1259.23,1572.17
15to44,2019-05,1304,1112.59,1409.43,1258.09,1566.39
15to44,2019-06,1306,1113.83,1405.43,1256.81,1559.48
15to44,2019-07,1307,1115.33,1400.96,1255.43,1551.7
15to44,2019-08,1288,1117.01,1396.18,1254,1543.36
15to44,2019-09,1188,1118.81,1391.25,1252.56,1534.72
15to44,2019-10,1293,1120.65,1386.32,1251.13,1526.05
15to44,2019-11,1208,1122.48,1381.51,1249.76,1517.59
15to44,2019-12,1217,1124.24,1376.93,1248.46,1509.54
15to44,2019-13,1181,1125.9,1372.68,1247.26,1502.05
15to44,2019-14,1243,1127.42,1368.83,1246.18,1495.26
15to44,2019-15,1254,1128.79,1365.41,1245.23,1489.24
15to44,2019-16,1233,1129.97,1362.48,1244.41,1484.06
15to44,2019-17,1184,1130.97,1360.03,1243.74,1479.74
15to44,2019-18,1224,1131.78,1358.08,1243.21,1476.29
15to44,2019-19,1199,1132.39,1356.62,1242.82,1473.69
15to44,2019-20,1221,1132.82,1355.61,1242.55,1471.91
15to44,2019-21,1222,1133.06,1355.05,1242.4,1470.91
15to44,2019-22,1218,1133.12,1354.89,1242.35,1470.63
15to44,2019-23,1236,1133.02,1355.09,1242.4,1471
15to44,2019-24,1160,1132.76,1355.63,1242.53,1471.97
15to44,2019-25,1265,1132.37,1356.46,1242.73,1473.46
15to44,2019-26,1323,1131.86,1357.54,1242.99,1475.41
15to44,2019-27,1309,1131.25,1358.85,1243.31,1477.76
15to44,2019-28,1237,1130.56,1360.35,1243.69,1480.45
15to44,2019-29,1216,1129.82,1362.02,1244.11,1483.44
15to44,2019-30,1287,1129.05,1363.85,1244.6,1486.68
15to44,2019-31,1215,1128.27,1365.82,1245.15,1490.14
15to44,2019-32,1242,1127.52,1367.92,1245.78,1493.8
15to44,2019-33,1217,1126.81,1370.15,1246.5,1497.65
15to44,2019-34,1220,1126.16,1372.53,1247.32,1501.67
15to44,2019-35,1228,1125.61,1375.05,1248.25,1505.88
15to44,2019-36,1193,1125.14,1377.74,1249.31,1510.29
15to44,2019-37,1252,1124.74,1380.61,1250.49,1514.95
15to44,2019-38,1224,1124.41,1383.69,1251.81,1519.9
15to44,2019-39,1201,1124.09,1387.01,1253.25,1525.21
15to44,2019-40,1213,1123.74,1390.6,1254.8,1530.96
15to44,2019-41,1261,1123.28,1394.48,1256.44,1537.24
15to44,2019-42,1188,1122.65,1398.68,1258.14,1544.1
15to44,2019-43,1284,1121.77,1403.19,1259.86,1551.58
15to44,2019-44,1222,1120.6,1407.97,1261.55,1559.65
15to44,2019-45,1190,1119.11,1412.94,1263.18,1568.19
15to44,2019-46,1218,1117.33,1417.98,1264.67,1577.02
15to44,2019-47,1210,1115.31,1422.92,1266,1585.84
15to44,2019-48,1229,1113.13,1427.58,1267.1,1594.31
15to44,2019-49,1250,1110.92,1431.73,1267.94,1602.03
15to44,2019-50,1223,1108.81,1435.18,1268.49,1608.59
15to44,2019-51,1236,1106.93,1437.72,1268.73,1613.62
15to44,2019-52,1265,1105.39,1439.21,1268.64,1616.81
15to44,2020-01,1381,1104.29,1439.55,1268.23,1617.97
15to44,2020-02,1290,1103.69,1438.71,1267.51,1616.99
15to44,2020-03,1271,1103.62,1436.7,1266.5,1613.89
15to44,2020-04,1225,1104.06,1433.6,1265.25,1608.82
15to44,2020-05,1373,1104.98,1429.55,1263.79,1601.98
15to44,2020-06,1207,1106.31,1424.7,1262.16,1593.69
15to44,2020-07,1314,1107.97,1419.26,1260.41,1584.27
15to44,2020-08,1247,1109.88,1413.4,1258.59,1574.08
15to44,2020-09,1297,1111.92,1407.35,1256.74,1563.53
15to44,2020-10,1294,1114.04,1401.26,1254.91,1552.89
15to44,2020-11,1307,1116.15,1395.31,1253.14,1542.48
15to44,2020-12,1282,1118.18,1389.63,1251.45,1532.56
15to44,2020-13,1419,1120.09,1384.35,1249.89,1523.31
15to44,2020-14,1368,1121.82,1379.54,1248.46,1514.91
15to44,2020-15,1448,1123.36,1375.27,1247.19,1507.44
15to44,2020-16,1295,1124.69,1371.57,1246.09,1500.99
15to44,2020-17,1276,1125.79,1368.46,1245.16,1495.59
15to44,2020-18,1187,1126.68,1365.95,1244.4,1491.23
15to44,2020-19,1179,1127.34,1364.03,1243.8,1487.89
15to44,2020-20,1302,1127.79,1362.66,1243.38,1485.54
15to44,2020-21,1213,1128.03,1361.83,1243.1,1484.12
15to44,2020-22,1305,1128.09,1361.49,1242.97,1483.57
15to44,2020-23,1218,1127.98,1361.61,1242.97,1483.81
15to44,2020-24,1256,1127.71,1362.15,1243.08,1484.79
15to44,2020-25,1248,1127.3,1363.05,1243.31,1486.41
15to44,2020-26,1269,1126.77,1364.29,1243.64,1488.61
15to44,2020-27,1227,1126.16,1365.83,1244.07,1491.32
15to44,2020-28,1204,1125.48,1367.63,1244.59,1494.48
15to44,2020-29,1246,1124.77,1369.67,1245.21,1498.02
15to44,2020-30,1224,1124.04,1371.92,1245.93,1501.9
15to44,2020-31,1356,1123.34,1374.37,1246.75,1506.08
15to44,2020-32,1342,1122.69,1377.01,1247.69,1510.52
15to44,2020-33,1347,1122.11,1379.83,1248.75,1515.19
15to44,2020-34,1300,1121.65,1382.81,1249.96,1520.07
15to44,2020-35,1266,1121.31,1385.98,1251.31,1525.16
15to44,2020-36,1299,1121.09,1389.34,1252.82,1530.49
15to44,2020-37,1310,1120.98,1392.91,1254.49,1536.09
15to44,2020-38,1297,1120.94,1396.73,1256.31,1542.01
15to44,2020-39,1238,1120.93,1400.81,1258.28,1548.36
15to44,2020-40,1242,1120.86,1405.22,1260.36,1555.24
15to44,2020-41,1309,1120.64,1409.99,1262.55,1562.76
15to44,2020-42,1212,1120.16,1415.14,1264.78,1571.03
15to44,2020-43,1352,1119.33,1420.68,1267.02,1580.11
15to44,2020-44,1276,1118.08,1426.59,1269.21,1589.99
15to44,2020-45,1247,1116.37,1432.76,1271.28,1600.56
15to44,2020-46,1251,1114.23,1439.07,1273.19,1611.58
15to44,2020-47,1267,1111.72,1445.31,1274.87,1622.73
15to44,2020-48,1273,1108.95,1451.23,1276.26,1633.54
15to44,2020-49,1382,1106.08,1456.58,1277.32,1643.53
15to44,2020-50,1371,1103.28,1461.08,1278,1652.16
15to44,2020-51,1292,1100.73,1464.49,1278.29,1658.95
15to44,2020-52,1243,1098.57,1466.62,1278.17,1663.5
15to44,2020-53,1412,1096.94,1467.32,1277.65,1665.54
15to44,2021-01,1363,1095.93,1466.54,1276.74,1664.9
15to44,2021-02,1359,1095.57,1464.3,1275.48,1661.6
15to44,2021-03,1409,1095.85,1460.68,1273.91,1655.79
15to44,2021-04,1380,1096.75,1455.85,1272.07,1647.72
15to44,2021-05,1344,1098.18,1450,1270.03,1637.76
15to44,2021-06,1263,1100.05,1443.37,1267.83,1626.34
15to44,2021-07,1302,1102.24,1436.19,1265.54,1613.9
15to44,2021-08,1225,1104.64,1428.73,1263.21,1600.9
