country,group,week,zscore
Austria,Total,2019-51,-0.66
Austria,Total,2019-52,-0.2
Austria,Total,2020-01,-0.54
Austria,Total,2020-02,0.7
Austria,Total,2020-03,2.34
Austria,Total,2020-04,1.91
Austria,Total,2020-05,4.13
Austria,Total,2020-06,1.24
Austria,Total,2020-07,3.7
Austria,Total,2020-08,1.17
Austria,Total,2020-09,2.08
Austria,Total,2020-10,2.11
Austria,Total,2020-11,1.82
Austria,Total,2020-12,3.6
Austria,Total,2020-13,2.58
Austria,Total,2020-14,3.93
Austria,Total,2020-15,3.64
Austria,Total,2020-16,2.27
Austria,Total,2020-17,0.64
Austria,Total,2020-18,-1.02
Austria,Total,2020-19,-0.13
Austria,Total,2020-20,-0.3
Austria,Total,2020-21,-0.46
Austria,Total,2020-22,-1.29
Austria,Total,2020-23,0.13
Austria,Total,2020-24,-0.28
Austria,Total,2020-25,-1.12
Austria,Total,2020-26,-0.46
Austria,Total,2020-27,1.94
Austria,Total,2020-28,-1.14
Austria,Total,2020-29,0.05
Austria,Total,2020-30,0.02
Austria,Total,2020-31,1.45
Austria,Total,2020-32,-0.49
Austria,Total,2020-33,2.47
Austria,Total,2020-34,0.26
Austria,Total,2020-35,0.45
Austria,Total,2020-36,0.69
Austria,Total,2020-37,1.35
Austria,Total,2020-38,1.11
Austria,Total,2020-39,0.21
Austria,Total,2020-40,0.78
Austria,Total,2020-41,1.19
Austria,Total,2020-42,0.74
Austria,Total,2020-43,3.39
Austria,Total,2020-44,4.79
Austria,Total,2020-45,6.31
Austria,Total,2020-46,10.02
Austria,Total,2020-47,11.88
Austria,Total,2020-48,11.73
Austria,Total,2020-49,12.89
Austria,Total,2020-50,11.91
Austria,Total,2020-51,8.66
Austria,Total,2020-52,6.68
Austria,Total,2020-53,4.88
Austria,Total,2021-01,4.05
Austria,Total,2021-02,3.99
Austria,Total,2021-03,4.49
Austria,Total,2021-04,3.69
Austria,Total,2021-05,2.56
Austria,Total,2021-06,1.36
Austria,Total,2021-07,0.79
Austria,Total,2021-08,0.07
Austria,Total,2021-09,-1.18
Austria,Total,2021-10,1.63
Austria,Total,2021-11,1
Austria,Total,2021-12,0.45
Austria,Total,2021-13,2.47
Austria,Total,2021-14,1.1
Austria,Total,2021-15,1.82
Austria,Total,2021-16,1.94
Austria,Total,2021-17,2.09
Austria,Total,2021-18,1.89
Austria,Total,2021-19,1.11
Austria,Total,2021-20,-0.09
Austria,Total,2021-21,-0.29
Austria,Total,2021-22,1.73
Austria,Total,2021-23,1.01
Austria,Total,2021-24,1.77
Austria,Total,2021-25,2.69
Austria,Total,2021-26,0.68
Austria,Total,2021-27,-0.09
Austria,Total,2021-28,-0.06
Austria,Total,2021-29,2
Austria,Total,2021-30,1.04
Austria,Total,2021-31,-0.07
Austria,Total,2021-32,2.54
Austria,Total,2021-33,2.35
Austria,Total,2021-34,1.5
Austria,Total,2021-35,0.86
Austria,Total,2021-36,2.29
Austria,Total,2021-37,1.02
Austria,Total,2021-38,1
Austria,Total,2021-39,2.23
